Lot Title,Lot Number,Lot Description,Image Name ,Minimum Bid,Reserve Bid,Bid Increment,Active
"PAR DE ARETES EN ORO ROSA DE 14K, CON 424 DIAMANTES. ",22,"Diseño cónico de menor a mayor, las gemas  en corte 8x8, color blanco comercial, casi limpios, peso aproximado en conjunto  1.70 ct. 5.9 grs. Largo 7 cm.",Lote22.jpg,5000,1000000,500,1
"PAR DE ARETES EN ORO BLANCO DE 14K, CON ANDALUCITA, RODOCROSITAS TALLADAS Y DIAMANTES.",23,"Diseño elegante con dos gemas rodeadas con diamantes, un total de 143, todos corte completo, color blanco comercial, casi limpios, largo 5.5 cm, 10.9 grs.",Lote23.jpg,4000,1000000,200,1
"DIJE FIRMA BVLGARI COLECCIÓN TONDO, EN ACERO Y ORO.",24,"Motivo sol, contrastes de calidad y firma, diámetro 43 mm, 22.2 grs.",Lote24.jpg,6000,1000000,500,1
"BRAZALETE RÍGIDO CON BROCHE OCULTO EN ORO BLANCO DE 18K, CON DIAMANTES.",25,"Diseño elegante con 37 diamantes en pavé, todos en corte completo, ligero color, con inclusiones, peso aproximado en conjunto 0.37 ct. Medida 18 cm. 10.2 grs.",Lote25.jpg,8000,1000000,500,1
"PULSERA EN ORO BLANCO DE 14K, CON ESMERALDAS Y DIAMANTES.",26,"Son 45 esmeraldas y 45 diamantes alternados de 5 en 5. Todos en corte completo, los diamantes en blanco comercial, casi limpios, peso aproximado en conjunto 0.90 ct. Las esmeraldas de buen color, peso aproximado en conjunto 0.70 ct. Medida 18 cm. Broche con doble seguro. 5.8 grs.",Lote26.jpg,4000,1000000,200,1
"RELOJ OMEGA CONSTELLATION, CUARZO EN ACERO Y ORO.",27,"Carátula clara texturizada con rombos, diámetro 33 mm, manecillas y puntos luminiscentes, fechador a las 3:00 hrs. Número de serie 59820XXX. Medida de extensible 17 cm.",Lote27.jpg,13000,1000000,1000,1
"RELOJ CORUM ADMIRAL´S CUP LEGEND, EDICIÓN LIMITADA 2XX/300 EN ACERO COMBINADO EN PVD.",28,"Carátula gris oscuro, tapa de esqueleto, referencia 0.0090, movimiento automático, diámetro 42 mm, número de serie 2289XXX. Fechador a las 3:00 hrs. Medida de extensible 16 cm, cierre doble desplegable. CON ESTUCHE ORIGINAL.",Lote28.jpg,28000,1000000,2000,1
"BRAZALETE RÍGIDO CON BROCHE OCULTO DE 14K, CON DIAMANTES NEGROS.",29,"Estilo elegante, 28 diamantes negros, 3 con ligero color, ligeras inclusiones, todos en corte completo, montados en pavé, peso aproximado en conjunto 0.90 ct. Medida 16.5 cm. 13.0 grs.",Lote29.jpg,8000,1000000,500,1
"ANILLO EN ORO DE 18K, CON  DIAMANTES Y CUARZO AHUMADO TALLA BRIOLETTO.",30,"Diseño cordón con 4 extremos, en cada uno 5 diamantes en corte completo, color blanco comercial, casi limpios, peso aproximado en conjunto 0.08 ct. 11.9 grs. Medida 9.",Lote30.jpg,7000,1000000,500,1
"ANILLO FIRMA TEMPLE ST. CLAIR EN ORO DE 18K, CON 36 ESMERALDAS.",31,"Diseño eternity con esmeraldas de 1.50 y 2.60 mm, alternadas de 3 en 3, en corte completo, con buen color, peso aproximado en conjunto 0.70 ct. 6.6 grs. Medida 8.",Lote31.jpg,6000,1000000,500,1
"ANILLO SOLITARIO EN ORO BLANCO DE 14K, CON DIAMANTE DE 50 PUNTOS, CON INSCRIPCIÓN LASER IGI 32693XXX SOBRE EL GRADO Y CALIDAD DEL DIAMANTE. ",32,"  Montado clásico en 4 uñas, diamante en corte completo color J, claridad I1. 2.2 grs. Medida 5¼.",Lote32.jpg,7000,1000000,500,1
"RELOJ CHOPARD IMPERIALE, CHRONÓGRAFO EN ACERO ACABADO DLC Y CAUCHO NEGRO.",33,"Carátula negra, referencia 8549, movimiento automático, calibre base ETA, diámetro 40 mm, fechador a las 4:30 hrs, número de serie 1782XXX. Extensible con cierre de hebilla. CON ESTUCHE ORIGINAL.",Lote33.jpg,26000,1000000,2000,1
"RELOJ IWC AQUATIMER CHRONOGRAPH, EDICIÓN EXPEDITION JACQUES-YVES COUSTEAU, EN ACERO Y CAUCHO.",34,"Carátula azúl,  movimiento automático, calibre suizo original, diámetro 44 mm, número de serie 5470XXX. Bisel giratorio exterior-interior mecánico con sistema SafeDive. Fechador con doble ventana a las 3:00 hrs.  Extensible con cierre de hebilla y sistema de cambio rápido. CON ESTUCHE ORIGINAL.",Lote34.jpg,60000,1000000,5000,1
"RELOJ CARTIER ROASDTER, AUTOMÁTICO, EN ACERO.",35," Carátula plata, con números romanos, indicadores luminiscentes, fechador a las 3:00 hrs. Referencia 2510, diámetro 37 X 44 mm, número de serie 48234XXX. Extensible con doble cierre desplegable y sistema de cambio rápido, medida  16 cm.",Lote35.jpg,32000,1000000,2000,1
"PAR DE BROQUELES EN ORO BLANCO DE 14K, CON DIAMANTE PRINCIPAL CORTE COMPLETO MONTADO EN 3 UÑAS, PESO APROXIMADO 2.00 QUILATES EN CONJUNTO, COLOR J, CLARIDAD VVS2 Y VS1.",36,"Diseño moderno convertible con cerco de 20 diamantes negros, corte completo, peso aproximado en conjunto 0.20 ct. 2.5 grs.",Lote36.jpg,40000,1000000,2000,1
"PAR DE ARETES EN ORO BLANCO DE 18K DISEÑOS MODERNO CON DOS DIAMANTES TALLA COJÍN, PESO APROXIMADO 6.00 QUILATES.",37,"Las dos gemas principales en color j-k claridad I2-I3. Cada con peso individual aprox. 3.00 quilates. Cierre de gancho, una línea con 9 diamantes y 28 más alrededor de cada gema,  todos con ligeras inclusiones y ligero color, peso aproximado en conjunto 0.37 ct. 6.5 grs.",Lote37.jpg,85000,1000000,5000,1
"DIJE PANTHÈRE DE CARTIER, FIRMA CARTIER EN ORO DE 18K.",38,"Con dos granates verdes (tsavoritas) y ónix. Presenta contrastes de origen, número de serie XXX26536XXX. Medida 2.5 x 2.0 cm. 11.1 grs.",Lote38.jpg,30000,1000000,2000,1
"RELOJ ROLEX O.P. DATEJUST II, 41MM, TODO EN ACERO.",39,"Carátula negra, indicadores en barras luminiscentes, referencia 116300, movimiento automático, calibre suizo original, número de serie 147L8XXX. Fechador a las 3:00 hrs. Pulso oyster con referencia 72210, medida  17 cm. Año aproximado 2015-2016",Lote39.jpg,75000,1000000,5000,1
"RELOJ ROELX DAY-DATE, PRESIDENTE 36 MM, REFERENCIA 18038.",40,"Carátula champagne, con indicadores en barra, número de serie 9486XXX, cristal zafiro, día a las 12:00 hrs.  Fecha a las 3: 00 hrs. Extensible y bisel acabado corteza, medida 16 cm. Oro amarillo de 18K, total gramos 136.0.",Lote40.jpg,130000,1000000,5000,1
