Lot Title,Lot Number,Lot Description,Event,Image Name ,  Minimum Bid  , Reserve Bid , Limit bid ,Bid Increment,Active
"MEDIA CHURUMBELA, CON RUBIES Y DIAMANTES, EN ORO DE14K.",22,"Con 4 rubíes y 3 diamantes alternados, todos en corte completo, los rubíes de buen color, peso aprox. en conjunto 0.30 Qte,  los diamantes en color I, claridad VS, peso aprox. en conjunto 0.18 Qte, contraste B.H, medida 7, peso 2.8 grs. ",20,Lote22.jpg,2600,500000,500000,200,1
"ESCLAVA FLEXIBLE, EN ORO 21K.",23,"Del medio orente, tejida en una sola pieza, al centro resaltando el esmalte a manera de flor de loto, medida 20 cm, peso 12 grs, ",20,Lote23.jpg,12000,500000,500000,1000,1
GARGANTILLA EN ORO 18K. ,24,"Diseño moderno, con dije simulando rehilete grabado, alternando alrededor bolitas y barrilitos, medida 44 cm, peso 7.1 grs. ",20,Lote24.jpg,8000,500000,500000,500,1
"PAR DE ARETES EN ORO BLANCO DE 14K, CON 96 DIAMANTES.",25,"Diseño elegante americano, en forma rectangular al centro un círculo, con 7 pendientes con terminación en corazones, con diamantes en corte completo, color H, claridad SI, peso aprox. en conjunto 0.48Qte. Medida 5cm, peso 9.0 grs. ",20,Lote25.jpg,11000,500000,500000,1000,1
"PRENDEDOR ITALIANO ORO DE 14K, CON CAMAFEO DE CARACOL TALLADO.",26,"Origen Vintage, clásico perfil femenino, la gema aplicada a manera de pendiente en cuello con diamante de 0.01 Qte, firma Napolitana APA, medida 3 x 3 cm, peso 6.1 grs. Convertible en pendiente. ",20,Lote26.jpg,3600,500000,500000,200,1
JUEGO DE 8 MONEDAS DE 1978 DE LAS FILIPINAS.,27,Con estuche y certificado.,20,Lote27.jpg,2800,500000,500000,200,1
"2 MONEDAS CONMEMORATIVAS CAMPEONATO MUNDIAL DE FUTBOL MÉXICO 86, 50 Y 100 PESOS, LEY .720.",28,"Moneda Conmemorativa Campeonato Mundial de Futbol Mexico 86, 100 pesos, Ley .0720.  Con manchas de antigüedad. La presentación rota, Año 1985. peso 17.7 grs",20,Lote28.jpg,700,500000,500000,100,1
"COLECCIÓN DE 12 MEDALLAS EL ORO DE EL DORADO, EDICIÓN LIMITADA POR EL MUSEO DEL ORO DE BOGOTÁ.",29,Plata Sterling 24k. Con certificado. Manchas por antigüedad. Marco de madera. Año 1979. peso 32 grs c/u aprox.,20,Lote29.jpg,7500,500000,500000,500,1
COLECCIÓN DE 25 MEDALLAS HISTORIA DE LA REVOLUCIÓN MEXICANA.,30,Medallas en vermeil-oro de 24k. Con estuche y certificado. Manchas por antigüedad.,20,Lote30.jpg,6500,500000,500000,500,1
BECA,30,,20,,5000,500000,500000,200,0
"DIJE CRUZ CON 139  DIAMANTES, EN ORO ROSA 14K.",31,"Diseño calado, con 84 diamantes corte completo, 55 corte baguett, color J, K, claridad VS, peso aprox. en conjunto 1.39 Qtes, peso 9 grs, medida 5 cm. ",20,Lote31.jpg,9000,500000,500000,500,1
"ANILLO FIRMA VAN CLEEF& ARPELS (VCA), EN ORO ROSA 18K. ",32,"Colección perlée, con perlas de oro, contraste propio de la firma, seriado, medida 7, peso 5.3 grs. ",20,Lote32.jpg,6500,500000,500000,500,1
"DIJE FIRMA HELLMUTH, MOTIVO ESTRELLA DE MAR, ORO 18K, CON 5 DIAMANTES.",33,"Firma alemana, las gemas en corte completo, color J, claridad VS, peso aprox. en conjunto 0.03 Qte, medida 3 cm, peso 4.1 grs. ",20,Lote33.jpg,4000,500000,500000,200,1
"PULSERA FIRMA TOUS, COLECCIÓN CARRUSEL.",34,"En oro amarillo de 18k, medida 19 cm, peso 6.20 grs. ",20,Lote34.jpg,9000,500000,500000,500,1
"ANILLO SOLITARIO CON DIAMANTE, FIRMA MAGIC GLO, EN ORO Y ORO BLANCO 14K.",35,"Montadura  clásica en 4 uñas, diamante en corte corazón, color J, claridad VS, peso aprox. 0.25 Qte, medida 5 ½, peso 1.8 grs. ",20,Lote35.jpg,2200,500000,500000,200,1
"CADENA Y DIJE CON PERLA Y DIAMANTES FIRMA ADPG, EN ORO BLANCO DE 14K. ",36,"Eslabón cuadrado, medida 44 cm, peso 3.3 grs, dije diseño en gota con perla medida 7 mm y  22 diamantes en corte completo, color I, claridad VS, peso aprox. en conjunto 0.22 Qte, medida 3 cm, peso 2.8 grs. ",20,Lote36.jpg,5000,500000,500000,200,1
"GARGANTILLA LÍNEA  EN  ORO BLANCO DE 14K, CON 112 DIAMANTES.",37,"Diseño elegante americano, collar boleado doble y dije rectangular con diamantes, corte completo, color H, claridad SI, peso aprox. en conjunto 0.56Qte,  detalles en círculos y líneas, con 7 pendientes con terminación en corazones, medida 47 cm, peso 11.8 grs. ",20,Lote37.jpg,13000,500000,500000,1000,1
"PAR DE ARETES DISEÑO AMERICANO, EN ORO BLANCO DE 14K CON DIAMANTES.",38,"Motivo circular simulando una flor, con 46 diamantes en corte completo, color H, claridad VS, peso aprox. en conjunto 0.46 Qte. Medida 1.5 cm, peso 4.7 grs. ",20,Lote38.jpg,5000,500000,500000,200,1
ANILLO DISEÑO AMERICANO EN ORO BLANCO CON 72 DIAMANTES.,39,"Montadura en forma cuadrada, resaltando 1diamante corte princesa, y 71 diamantes  alrededor y 2 líneas en laterales, en corte completo, color I, claridad VS, SI, peso aprox. en conjunto 1.75Qtes, medida #7, peso 6.5 grs. ",20,Lote39.jpg,6500,500000,500000,500,1
"MONEDA ONZA DE ORO PURO 100 YUAN CHINA, OSO PANDA AÑO 1985.",40,"En reverso lleva imagen de oso panda encaramado, en el anverso tiene “templo del cielo” de Pequín, peso 31.1 grs, en buen estado de conservación.",20,Lote40.jpg,41000,500000,500000,2000,1
"MONEDA “CENTENARIO”, EN ORO LEY .900, AÑO 1944.",41,"Un clásico de la numismática Mexicana y en las monedas de inversión, peso 41.6 grs, ligeramente manchada. ",20,Lote41.jpg,48000,500000,500000,2000,1
GARGANTILLA EN ORO BLANCO DE 18K.,42,"Diseño italiano, con esferas fasetas alternadas en dos tamaños, medida 40 cm, peso 18.7 grs. ",20,Lote42.jpg,20000,500000,500000,1000,1
"GARGANTILLA CON 334 DIAMANTES, EN ORO DE 18K.",43,"Manufactura Europea estilo bollywood, con gemas en corte completo, color J, claridad SI, peso aprox. en conjunto 3.0 Qtes, medida 44 cm, peso 67.5 grs. ",20,Lote43.jpg,95000,500000,500000,5000,1
"PULSERA PANDORA, PLATA LEY .925, 8 CHARMS. ",44,"Dije acuarela, mariposa con zirconia rosa,  perro labrador, 2 dijes corazón, dije corona, dije corazón con flores esmaltadas, globo aerostático, con cierre corazón, medida 19 cm, peso 36.8 grs,",20,Lote44.jpg,4000,500000,500000,200,1
